salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
2401537,32,84,265,40,8.5,7.2,0.4,7.3,0.129,0.262,0.174,0.643,0.028,0
2401537,29,76,200,38,6.4,1.7,1.1,1,0.017,0.062,0.136,0.545,0.072,0
2401537,28,82,279,46,6.2,8.9,1.9,0.2,0.146,0.321,0.169,0.546,0.149,0
2389641,30,78,213,36,2.1,1.8,0.5,-12.2,0.02,0.111,0.082,0.468,0.052,0
2389641,28,80,198,43,8.7,5.3,1.6,10.8,0.045,0.185,0.149,0.604,0.107,0
2389641,29,83,240,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087,0
2389641,28,75,195,35,8.8,1.4,0.8,-9.6,0.012,0.067,0.199,0.583,0.076,0
2353320,19,80,229,15,1.3,2.3,0.5,17.3,0.08,0.227,0.108,0.382,0.09,1
2353320,21,78,200,24,1.2,1.5,0.5,-8.1,0.07,0.103,0.104,0.389,0.082,1
2327220,27,83,250,28,9.2,7.1,1.3,-5.7,0.15,0.262,0.214,0.592,0.124,1
2316240,21,77,220,42,9.8,5.6,1.3,-0.9,0.052,0.158,0.155,0.575,0.074,0
2303040,20,76,175,42,7.2,2.9,2.4,-16,0.016,0.133,0.194,0.478,0.213,0
2259240,20,75,215,43,7.2,2,1.7,-7.9,0.039,0.087,0.2,0.562,0.162,0
2239544,29,80,208,37,3.4,1.8,0.8,-0.1,0.021,0.087,0.104,0.48,0.077,0
2239544,27,75,195,31,3,1.9,2,2.1,0.041,0.124,0.172,0.397,0.244,0
2239200,25,78,196,35,2.7,1.8,0.7,-0.1,0.043,0.141,0.121,0.581,0.114,0
2210640,22,75,190,48,10,2.3,3,8,0.015,0.085,0.213,0.52,0.216,0
2197674,25,77,210,46,4.7,4.5,1.5,0.8,0.057,0.175,0.095,0.612,0.105,0
2168760,21,76,210,34,5.9,1.7,1,-1.8,0.026,0.073,0.155,0.582,0.106,0
2161440,22,76,194,46,16.9,3,3.4,7.9,0.012,0.086,0.241,0.582,0.182,0
2161152,22,86,220,14,2.4,1.4,0.4,0.5,0.049,0.211,0.16,0.565,0.102,1
2145720,22,78,220,49,15.1,6.1,1.8,0.9,0.027,0.154,0.197,0.564,0.08,0
2137440,24,73,195,42,4.7,1.6,1.7,-6.1,0.02,0.1,0.179,0.491,0.218,0
2130240,21,76,203,34,13.4,4,6.2,-7.4,0.023,0.102,0.236,0.501,0.316,0
2096880,21,74,169,39,8.4,2.5,1.9,-1.6,0.01,0.142,0.232,0.506,0.173,0
2089448,29,74,180,42,7.3,2,2.6,-0.8,0.009,0.09,0.184,0.51,0.191,1
2089448,33,81,234,49,6.4,4.1,1.8,6.7,0.055,0.192,0.191,0.558,0.182,1
2089448,28,84,240,9,10.6,4.6,1.4,9.6,0.06,0.144,0.185,0.635,0.105,0
2075880,22,84,270,10,2.2,2.2,0,-8.7,0.064,0.193,0.126,0.619,0,1
2063280,21,81,185,49,8.3,4.3,1.2,-1.7,0.042,0.112,0.144,0.515,0.065,0
2048040,23,73,175,29,3.1,1.1,1,-12,0.019,0.09,0.164,0.459,0.168,0
2036280,20,75,210,40,7.5,2.4,1,-5.9,0.008,0.12,0.193,0.505,0.086,1
2033160,23,77,215,50,18,4.4,2.4,3.8,0.016,0.118,0.224,0.587,0.123,0
2023800,19,76,202,2,1,1,0,-72.4,0.143,0.125,0.118,1,0,0
2009040,20,81,265,23,6.3,4.9,0.3,7.4,0.198,0.208,0.215,0.61,0.038,0
2000000,20,76,175,24,3.4,1.7,1,-15.3,0.022,0.096,0.164,0.413,0.13,1
2000000,23,81,220,31,3.7,1.7,0.6,7.1,0.04,0.083,0.125,0.485,0.06,1
2000000,21,80,242,44,7.1,5.8,1,-10.4,0.062,0.17,0.146,0.506,0.066,0
2000000,28,77,225,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065,1
1994520,21,83,215,27,3.3,2.4,0.5,2.7,0.069,0.147,0.16,0.425,0.069,1
1939350,30,76,205,26,4.6,2.1,0.8,2.7,0.045,0.11,0.136,0.6,0.094,0
1939350,29,75,195,49,7.3,3.7,0.9,10.7,0.063,0.143,0.145,0.694,0.077,0
1939350,27,77,210,45,5.7,3.1,1.2,1.7,0.041,0.108,0.115,0.622,0.086,0
1846738,25,77,205,27,10.5,3,2.8,-0.4,0.019,0.095,0.199,0.516,0.176,0
1802057,23,84,240,47,8.5,8.4,0.5,-2,0.136,0.186,0.11,0.75,0.029,0
1789256,24,82,248,37,3.5,3.9,0.5,6.9,0.118,0.197,0.131,0.6,0.061,0
1789256,27,78,240,19,2.6,3.1,0.3,-19.7,0.069,0.102,0.11,0.343,0.026,0
1789256,24,75,200,46,12.4,3.3,2.4,3.4,0.016,0.097,0.181,0.608,0.127,0
1789256,23,76,200,41,4.5,1.4,1.3,4.7,0.012,0.093,0.164,0.514,0.142,1
1786878,22,77,188,2,0,1,0.5,-20.5,0.182,0,0.188,0,0.2,1
1782621,25,77,215,52,10.1,5.1,2.2,-2,0.045,0.118,0.148,0.564,0.115,0
1782621,22,83,215,24,9.5,5.7,0.9,-5.8,0.102,0.14,0.159,0.647,0.064,0
1782621,22,75,215,46,16.7,4.2,1.7,-8.2,0.02,0.097,0.22,0.542,0.086,1
1782621,22,80,215,21,3.7,2,0.7,2.7,0.044,0.118,0.141,0.521,0.082,0
1782621,25,78,255,38,5.5,2.1,0.6,-0.8,0.05,0.107,0.169,0.614,0.068,0
1782621,23,81,234,47,9,6.1,1,-6.1,0.107,0.172,0.151,0.706,0.073,0
1782621,26,78,205,47,8,4.3,2.6,1.1,0.043,0.109,0.123,0.559,0.123,0
1782621,23,81,240,17,0.9,0.7,0.1,-34.5,0.132,0.114,0.139,0.615,0.08,1
1762796,25,81,245,48,4.8,4,1,-5.9,0.1,0.193,0.169,0.588,0.123,0
1729217,29,78,219,31,3,2.5,0.6,-13.8,0.085,0.138,0.138,0.497,0.085,1
1729217,24,79,205,39,5.8,2.2,1,-7.3,0.026,0.106,0.155,0.521,0.093,1
1729217,24,83,245,43,7.6,2.4,1.1,-4.6,0.038,0.15,0.224,0.638,0.144,1
1729217,26,80,229,40,5.5,4.2,0.6,1.7,0.062,0.159,0.138,0.554,0.049,0
1701593,28,78,209,50,4.7,2.8,2,2.5,0.035,0.139,0.152,0.552,0.191,0
1700000,23,79,206,48,9.3,3.9,2.1,0.9,0.04,0.087,0.132,0.571,0.099,0
1690507,26,78,231,7,2.6,0.9,0.7,-13.6,0.017,0.077,0.119,0.643,0.147,1
1669178,25,77,215,42,11.3,3.4,1.3,4.8,0.019,0.121,0.18,0.611,0.082,0
1669178,27,75,190,28,4.4,1.3,0.5,1.3,0.009,0.086,0.14,0.582,0.06,0
1669178,29,73,179,22,1.8,0.5,1.4,-10.6,0.013,0.058,0.143,0.417,0.246,1
1669178,25,71,185,34,2.7,1.1,2.5,-4.9,0.013,0.076,0.129,0.429,0.301,0
1669178,28,77,205,35,6.7,4.3,1,6,0.068,0.117,0.115,0.603,0.056,0
1669178,25,75,200,44,9.3,2,3.3,3.7,0.017,0.067,0.182,0.567,0.214,0
1517981,20,81,270,4,2,1.3,0,-60.5,0.143,0.118,0.178,0.546,0,0
1517981,22,73,185,42,4.8,1.9,2.4,-2.8,0.028,0.1,0.148,0.55,0.248,0
1517981,22,78,235,11,0.5,0.9,0.3,23.4,0.083,0.182,0.146,0.194,0.097,0
1517981,24,84,245,38,3.4,2,0.3,-13.3,0.083,0.156,0.145,0.703,0.058,1
1517981,24,79,220,26,3.5,2.3,0.8,-5.5,0.045,0.174,0.184,0.453,0.131,0
1517981,23,80,225,40,8.2,3.8,1,-4.3,0.03,0.148,0.188,0.515,0.076,0
1517981,20,75,190,18,2.8,0.5,0.2,1,0.024,0.057,0.213,0.468,0.053,0
1517981,22,76,165,36,4.3,1.2,0.7,0.7,0.011,0.076,0.141,0.527,0.078,0
1517981,23,77,215,13,3.3,1.2,0.4,-28.7,0.023,0.131,0.167,0.609,0.078,0
1517981,21,78,200,28,3.8,2.2,0.8,-12.7,0.051,0.142,0.143,0.546,0.114,0
1500000,20,81,219,9,1.8,1,0.1,19.1,0.049,0.194,0.231,0.477,0.053,0
1489065,22,74,183,27,5.1,2.4,2.4,-7.2,0.022,0.138,0.171,0.49,0.249,0
1489065,23,83,275,37,6.2,6.2,1.1,9,0.122,0.298,0.192,0.547,0.112,1
1366392,29,80,255,13,10.2,7.5,1.1,13.5,0.149,0.196,0.175,0.641,0.066,1
1250000,19,81,203,15,2.3,1.3,0.5,0.7,0.049,0.097,0.137,0.467,0.086,0
1093598,25,77,215,34,11.7,3.5,0.9,-2.7,0.016,0.107,0.146,0.625,0.048,0
1090007,29,79,215,15,3.9,2.1,0.3,-15.1,0.061,0.107,0.149,0.463,0.036,0
1057260,23,78,232,1,0,0,0,-18.2,0,0,0.273,0,0,0
958529,24,81,240,19,5.9,3.5,0.6,1.5,0.079,0.224,0.22,0.592,0.085,0
925258,21,80,195,3,0.7,1,0,-5,0,0.375,0.154,0.347,0,1
925258,21,73,195,20,1.9,0.8,1.2,11.1,0.013,0.095,0.179,0.323,0.232,0
925258,22,83,220,9,1.9,1.1,0,1.2,0.122,0.119,0.247,0.428,0,1
925258,26,83,255,33,4.7,2.3,0.9,1.4,0.1,0.099,0.172,0.61,0.133,1
925258,21,75,193,23,3.7,0.8,1,-6.1,0.006,0.084,0.243,0.519,0.21,0
925258,20,79,206,21,2,1.3,0.2,-19.5,0.092,0.159,0.201,0.47,0.078,0
925258,22,79,204,40,3.7,2.2,1.7,-1.9,0.05,0.136,0.172,0.467,0.203,1
925258,21,81,230,22,2.9,2.7,0.3,-8.1,0.12,0.24,0.149,0.669,0.072,1
925258,20,78,188,36,7,2.5,0.9,-3.2,0.02,0.119,0.209,0.468,0.086,0
925258,22,76,200,47,7.8,2.7,2.5,-0.9,0.015,0.096,0.134,0.614,0.139,0
663024,25,76,205,6,4.2,1.2,0.7,-11.1,0.012,0.107,0.178,0.485,0.108,0
85578,25,81,220,3,0,5,0.7,-50.3,0.286,0.389,0.189,0,0.222,0
