salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
14339285,27,76,220,44,11.6,3.9,5.5,7.1,0.018,0.093,0.167,0.527,0.228,0
14320988,33,73,180,34,8.9,4.5,5.1,4.5,0.042,0.125,0.152,0.527,0.267,0
14190000,33,80,235,26,6.1,3.6,2.3,-4.6,0.099,0.141,0.187,0.574,0.241,0
14000000,29,83,265,45,18.2,12,2.5,-0.6,0.107,0.269,0.239,0.604,0.136,1
14000000,34,80,220,45,7.2,2.9,3.5,8.2,0.01,0.099,0.129,0.551,0.195,1
13750000,30,79,225,37,11.5,2.5,1.3,-1.1,0.015,0.08,0.179,0.587,0.069,0
13666667,26,81,214,48,17.7,10.3,2.2,-9.2,0.053,0.265,0.235,0.573,0.118,0
13445120,33,74,200,26,12,3,4,5.8,0.032,0.08,0.217,0.541,0.266,0
13302325,33,84,282,1,8,5,0,2,0.057,0.12,0.129,0.444,0,0
13038862,28,77,204,48,11.4,3.5,1.7,-5.4,0.016,0.098,0.173,0.535,0.085,0
13000000,26,81,221,48,16.4,8.9,2.9,-4.9,0.036,0.216,0.224,0.553,0.132,0
12975471,31,79,209,48,7.6,5.7,1.4,-2.1,0.027,0.161,0.124,0.519,0.066,0
12727273,25,77,206,43,12.1,3.7,2.2,3.6,0.008,0.107,0.159,0.604,0.112,0
12632950,23,83,250,30,16.2,10.4,1.6,5.1,0.096,0.243,0.21,0.658,0.081,1
12500000,30,78,206,44,11.3,2.7,2.1,-11.1,0.012,0.094,0.199,0.533,0.136,0
12420000,29,76,194,50,15.5,3.5,2.4,6.2,0.028,0.095,0.262,0.518,0.145,0
12200000,26,79,225,21,18.4,3.3,2.7,8.8,0.027,0.087,0.286,0.521,0.149,1
12195122,30,83,240,14,11.3,5,2.9,-1.6,0.058,0.189,0.237,0.527,0.203,1
12000000,26,78,203,46,16.6,3.9,1.1,0.8,0.034,0.098,0.228,0.577,0.062,0
12000000,27,83,290,49,14.6,10.7,2.7,-0.1,0.097,0.281,0.231,0.592,0.156,1
12000000,26,77,215,40,13.4,7.8,4.1,-3.5,0.038,0.194,0.169,0.602,0.183,0
11600000,28,77,200,41,10.1,2.7,1.5,2.2,0.024,0.083,0.166,0.581,0.092,0
11312114,22,83,235,30,9.3,7.2,0.6,-3.6,0.091,0.22,0.179,0.521,0.037,0
11000000,30,82,240,52,7.1,4.3,1.1,0.6,0.093,0.127,0.128,0.697,0.081,1
11000000,26,73,195,47,14,2.5,4.5,-0.3,0.013,0.067,0.205,0.516,0.215,0
10690909,29,79,245,37,6.9,5.6,2,-1.5,0.066,0.177,0.125,0.581,0.125,0
10500000,29,77,180,38,7.3,2.5,1.3,2.2,0.023,0.128,0.189,0.53,0.118,0
10384500,28,82,235,35,12,8.1,1.1,-6,0.087,0.214,0.157,0.71,0.07,0
10384500,31,74,208,49,16.5,3.3,4,-1.5,0.015,0.086,0.266,0.496,0.213,0
10245480,20,76,225,46,22.3,5,3.6,5,0.025,0.113,0.268,0.562,0.163,0
10174391,22,79,230,37,26,8.8,8.9,1.2,0.022,0.222,0.353,0.545,0.471,1
10050120,20,78,220,41,15.8,5.5,5.2,-9,0.026,0.144,0.259,0.495,0.274,0
10000000,30,79,210,32,2.8,2,2.4,-13.4,0.035,0.096,0.125,0.373,0.238,1
10000000,34,78,215,33,6.9,2.6,1.1,6.9,0.023,0.083,0.127,0.593,0.062,0
9937150,28,81,230,41,7.9,5.2,2.7,-3,0.036,0.191,0.162,0.498,0.169,0
9742000,32,82,235,33,6.2,4.1,1,-5.2,0.077,0.182,0.193,0.559,0.115,1
9720900,30,81,254,30,6.2,5.4,0.6,-5.1,0.142,0.196,0.186,0.521,0.058,1
9720900,28,79,240,44,14.1,6.8,2.1,2.8,0.091,0.184,0.201,0.687,0.139,0
9720900,31,78,235,41,9.1,4.9,1.4,9.7,0.015,0.146,0.143,0.55,0.061,0
9720900,24,78,210,31,6.3,3.4,0.5,2.7,0.069,0.123,0.126,0.689,0.04,0
9720900,30,81,265,32,5.1,4.8,0.8,-12.6,0.076,0.188,0.139,0.507,0.078,0
9603360,22,75,174,41,26.3,5.9,6.9,1.9,0.04,0.129,0.323,0.566,0.334,0
9536000,30,78,205,44,7.3,3.3,1,7.1,0.017,0.113,0.126,0.549,0.061,0
9536000,30,78,214,51,11.1,4.2,2.5,1.4,0.021,0.134,0.178,0.552,0.149,0
9500000,21,76,234,36,9.7,3.2,2.5,-2,0.021,0.096,0.185,0.488,0.142,0
9180560,22,83,242,53,16.6,5.9,1.1,5.7,0.044,0.149,0.248,0.536,0.057,0
8992200,19,76,186,36,14.3,3.4,2.3,-17.4,0.013,0.095,0.228,0.501,0.125,0
8800000,27,83,220,23,3.5,6,1,-3.2,0.087,0.17,0.071,0.597,0.06,0
8750000,30,82,240,37,7.6,5.9,1.1,2.4,0.045,0.177,0.131,0.577,0.066,1
8750000,26,85,245,43,13.1,9,2.8,3.6,0.131,0.17,0.179,0.603,0.129,1
8730159,24,82,248,9,7,3.1,0.7,-13.3,0.061,0.136,0.196,0.547,0.069,0
8678571,28,77,226,48,7.5,5.1,2.4,4.9,0.027,0.127,0.091,0.646,0.1,0
8623920,21,78,214,45,17.5,5.7,2.5,-6,0.022,0.144,0.25,0.516,0.13,1
