salary,gender,age,height,pts,ast,usg_p,foreign
4500000,0,33,72,4.6,2.6,0.187,0
4458000,0,21,82,6.3,0.2,0.196,0
4447896,0,23,76,11.2,2.3,0.227,0
4437000,0,25,80,12.1,1.2,0.16,0
4373160,0,20,81,7.2,0.9,0.141,0
4347600,0,28,79,4.1,0.5,0.106,0
4347600,0,26,82,14.9,1.2,0.212,0
4259259,0,22,81,7.3,1.4,0.11,0
4253357,0,23,79,11.7,2.8,0.168,0
4235160,0,21,77,11.4,1.5,0.185,0
4215120,0,23,79,9.9,2.1,0.17,0
4154400,0,21,76,5.0,0.8,0.226,0
4087904,0,23,76,2.7,0.6,0.103,1
4054695,0,26,76,11.8,1.5,0.159,0
4023600,0,21,77,14.4,7.3,0.177,0
4004280,0,22,77,20.1,4.0,0.28,0
4000000,0,24,76,10.4,1.3,0.244,0
4000000,0,32,82,3.4,0.8,0.153,1
4000000,0,35,76,7.0,2.5,0.117,0
4000000,0,28,79,10.0,2.0,0.138,0
3980551,0,25,72,5.8,1.8,0.171,0
3946800,0,19,76,4.6,1.3,0.162,1
3940184,0,27,80,2.1,0.3,0.146,0
3938818,0,22,75,15.7,3.7,0.232,0
3902439,0,25,78,4.2,1.4,0.169,0
3833333,0,26,73,2.9,0.9,0.144,0
3822240,0,20,73,5.9,2.0,0.209,0
3804360,0,22,77,4.6,0.5,0.121,0
3804150,0,30,70,6.0,3.9,0.145,1
3768342,0,24,76,7.4,1.6,0.155,0
3749520,0,24,77,13.2,2.2,0.206,1
3731707,0,28,84,6.5,1.2,0.167,1
3631200,0,22,77,3.3,0.3,0.164,0
3562080,0,19,77,3.1,0.3,0.153,0
3500000,0,30,82,7.9,0.5,0.195,0
3500000,0,33,87,4.9,0.1,0.326,1
3449400,0,21,75,17.8,6.1,0.256,0
3383640,0,22,78,6.0,0.9,0.137,0
3333333,0,29,72,5.6,1.6,0.256,0
3300000,0,28,79,9.4,1.4,0.169,0
3277080,0,20,80,8.0,1.1,0.14,0
3277080,0,23,78,8.0,1.5,0.158,0
3261480,0,23,77,12.9,2.8,0.243,1
3214680,0,19,82,8.6,2.4,0.218,1
3113160,0,20,84,4.6,1.1,0.186,1
3098400,0,22,84,4.5,0.6,0.201,1
3053760,0,21,80,4.0,0.5,0.134,0
3000000,0,26,77,3.9,0.8,0.127,0
3000000,0,23,75,11.4,0.9,0.208,0
2957520,0,21,77,4.5,1.3,0.134,1
2901240,0,21,75,7.8,0.8,0.194,0
2840160,0,24,77,5.7,1.1,0.094,0
2824320,0,22,79,15.5,2.6,0.208,0
2770560,0,21,82,0.9,0.3,0.142,1
2726880,0,25,80,9.9,1.3,0.17,1
2711280,0,22,80,7.7,1.2,0.162,1
2659560,0,20,80,1.9,0.1,0.18,0
2641691,0,34,76,6.2,0.7,0.127,0
2641691,0,41,80,2.9,0.3,0.188,0
2641691,0,36,80,3.4,1.2,0.098,0
2641691,0,36,79,3.4,1.0,0.157,0
2641691,0,32,81,7.7,1.4,0.19,0
2641691,0,36,83,13.4,0.9,0.223,0
2641691,0,34,79,5.3,1.9,0.131,0
2641691,0,29,82,3.7,0.2,0.126,1
2641691,0,36,82,5.1,0.5,0.138,0
2641691,0,37,79,13.6,1.1,0.192,0
2641691,0,38,78,4.2,3.9,0.11,0
2617800,0,23,78,7.2,1.0,0.118,0
2602920,0,21,74,16.9,4.8,0.202,0
2553120,0,19,76,3.5,0.9,0.202,0
2513040,0,21,80,9.1,1.2,0.174,0
2500000,0,26,81,10.3,1.2,0.215,1
2498760,0,21,81,6.6,0.3,0.152,0
2451120,0,20,82,5.5,0.4,0.222,0
2412840,0,24,77,7.1,1.9,0.212,0
2401537,0,32,76,3.8,0.9,0.122,0
2401537,0,32,84,8.5,0.4,0.174,0
2401537,0,29,76,6.4,1.1,0.136,0
2401537,0,28,82,6.2,1.9,0.169,0
2389641,0,30,78,2.1,0.5,0.082,0
2389641,0,28,80,8.7,1.6,0.149,0
2389641,0,29,83,5.2,0.8,0.153,0
2389641,0,28,75,8.8,0.8,0.199,0
2353320,0,19,80,1.3,0.5,0.108,1
2353320,0,21,78,1.2,0.5,0.104,1
