salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
52042,28,70,172,27,5,1.2,1.6,8.7,0.009,0.085,0.196,0.509,0.208,0
47185,27,69,162,17,1.6,0.7,1.1,-0.9,0,0.079,0.123,0.368,0.174,0
45000,28,75,191,24,1.5,5.4,0.8,4.1,0.083,0.203,0.044,0.604,0.063,0
35389,27,75,170,19,4.4,2.6,1.1,-11.9,0.057,0.1,0.174,0.391,0.112,0
34651,28,74,192,15,5.9,3.5,0.3,-7.9,0.065,0.198,0.198,0.583,0.04,0
34315,23,76,205,26,2.6,3,0.5,-12.7,0.051,0.212,0.132,0.461,0.074,0
31095,22,68,135,10,0.4,0.4,0.2,-45.5,0,0.093,0.116,0.269,0.125,0
30900,22,74,164,6,2.2,1,0.3,19.3,0,0.13,0.226,0.344,0.083,0
29664,23,70,158,6,2,0.5,0.3,-13.1,0.088,0,0.19,0.615,0.154,0
29664,26,72,175,9,2.8,2.2,0.2,-12.1,0.024,0.187,0.155,0.454,0.049,0
24330,26,69,140,17,6.9,1.4,0.9,-4.2,0.011,0.063,0.144,0.632,0.079,0
24330,28,74,172,14,0.9,1.4,0.4,-10.2,0.104,0.22,0.105,0.492,0.162,0
20609,28,70,169,9,2.3,1.6,1.2,1.6,0.02,0.069,0.103,0.389,0.112,0
20394,23,75,200,5,2.6,0.8,0.6,-8.8,0,0.114,0.164,0.65,0.143,0
17304,26,72,160,14,3.6,1.9,0.8,-0.9,0.015,0.123,0.123,0.532,0.087,0
16068,25,75,195,11,4,3.6,0,-26.2,0.101,0.287,0.177,0.612,0,0
15564,20,66,143,4,2,0.8,0.8,-10.1,0.032,0.056,0.269,0.376,0.167,1
14908,24,71,160,6,2.5,3.7,0.5,-15.4,0.091,0.133,0.146,0.333,0.065,0
13596,24,76,200,10,3.4,3.3,0.5,-2.9,0.083,0.167,0.167,0.46,0.06,0
12978,25,72,165,3,0,0.7,0,-46.2,0,0.222,0.133,0,0,0
12978,32,74,190,20,5.5,3.7,0.9,-8.1,0.086,0.166,0.203,0.505,0.105,0
9270,24,79,245,1,2,1,0,-30.9,0,0.25,0.273,0.333,0,0
6798,27,74,193,2,0,2,0,11.4,0.111,0.375,0.105,0,0,0
5099,24,75,182,4,1.5,1,0,-16.3,0.037,0.143,0.111,0.773,0,0
3318,28,69,156,2,2,1,2,-12.5,0,0.065,0.164,0.41,0.308,0
3245,27,67,160,1,0,1,0,56.4,0,0.167,0,0,0,0
1391,23,69,152,1,0,0,1,-133.3,0,0,0,0,1,0
